detection_id,ros_time,json_time_us,estimated_dist,ground_truth,absolute_error,error_percentage,led_count
1,1746557035.000000,66000000,7.382207,8.850000,1.467793,16.585234,3
2,1746557035.000000,66000000,7.361434,8.850000,1.488566,16.819958,3
3,1746557038.000000,69000000,8.779166,9.700000,0.920834,9.493135,3
4,1746557043.000000,74000000,8.603633,12.440000,3.836367,30.838962,3
5,1746557040.800000,71800000,7.486061,9.890000,2.403939,24.306766,3
6,1746557050.200000,81200000,7.703610,6.460000,1.243610,19.250925,3
7,1746557048.600000,79600000,7.883672,6.650000,1.233672,18.551463,3
8,1746557050.800000,81800000,7.450093,6.630000,0.820093,12.369434,3
9,1746557052.800000,83800000,7.508567,8.200000,0.691433,8.432107,3
10,1746557053.800000,84800000,8.271502,10.290000,2.018498,19.616110,3
11,1746557055.000000,86000000,8.984710,11.940000,2.955290,24.751173,3
12,1746557058.000000,89000000,7.012881,11.010000,3.997119,36.304438,3
13,1746557058.500000,89500000,7.048708,10.260000,3.211292,31.299138,3
14,1746557061.300000,92300000,10.671920,6.870000,3.801920,55.340903,3
15,1746557064.700000,95700000,8.122272,7.580000,0.542272,7.153981,3
16,1746557065.700000,96700000,9.711722,9.330000,0.381722,4.091342,3
17,1746557069.700000,100700000,8.796694,11.160000,2.363306,21.176577,3
18,1746557070.500000,101500000,8.269633,9.180000,0.910367,9.916852,3
19,1746557072.200000,103200000,10.419388,9.530000,0.889388,9.332510,3
20,1746557072.300000,103300000,11.148705,9.690000,1.458705,15.053713,3
21,1746557073.300000,104300000,12.917367,12.280000,0.637367,5.190289,3
22,1746557080.100000,111100000,14.040400,11.480000,2.560400,22.303135,3
23,1746557083.400000,114400000,9.680426,11.070000,1.389574,12.552612,3
24,1746557084.400000,115400000,9.182318,11.420000,2.237682,19.594413,3
25,1746557084.600000,115600000,9.197363,11.460000,2.262637,19.743775,3
26,1746557085.000000,116000000,8.603672,11.500000,2.896328,25.185458,3
27,1746557086.900000,117900000,8.578151,11.820000,3.241849,27.426811,3
28,1746557088.000000,119000000,7.565474,12.160000,4.594526,37.783927,3
29,1746557089.500000,120500000,6.520979,11.750000,5.229021,44.502307,3
30,1746557091.900000,122900000,8.316271,5.580000,2.736271,49.037117,3
31,1746557093.700000,124700000,6.671731,5.700000,0.971731,17.047920,3
32,1746557097.100000,128100000,4.216044,7.160000,2.943956,41.116703,3
33,1746557098.600000,129600000,5.167337,9.930000,4.762663,47.962368,3
34,1746557103.000000,134000000,5.247207,4.490000,0.757207,16.864292,3
35,1746557104.500000,135500000,6.274967,7.370000,1.095033,14.857972,3
36,1746557106.400000,137400000,4.172857,7.290000,3.117143,42.759169,3
37,1746557106.700000,137700000,4.351845,7.620000,3.268155,42.889168,3
38,1746557112.700000,143700000,7.036550,6.070000,0.966550,15.923396,3
39,1746557115.400000,146400000,8.338109,11.640000,3.301891,28.366757,3
40,1746557124.900000,155900000,13.521105,12.570000,0.951105,7.566468,3
41,1746557130.900000,161900000,14.485454,17.330000,2.844546,16.414001,3
42,1746557131.100000,162100000,15.163614,17.450000,2.286386,13.102497,3
43,1746557133.800000,164800000,16.264555,15.350000,0.914555,5.958016,3
44,1746557145.900000,176900000,9.535935,9.240000,0.295935,3.202758,3
45,1746557152.600000,183600000,20.435369,25.740000,5.304631,20.608512,3
46,1746557171.600000,202600000,14.181461,21.320000,7.138539,33.482826,3
47,1746557173.600000,204600000,13.125550,20.410000,7.284450,35.690593,3
48,1746557176.600000,207600000,11.439539,17.320000,5.880461,33.951855,3
=== Statistics ===
Mean Absolute Error:,2.468891 m
Std Dev of Error:,1.742612 m
Max Error:,7.284450 m
Mean Error Percentage:,22.75%
Std Dev of Error Percentage:,13.26%
Max Error Percentage:,55.34%
